file,line,keyword,context
./docs/FIX_IMPLEMENTATION_SUMMARY.md,4,CRITICAL,"**Status**: ✅ **9/9 CRITICAL FIXES IMPLEMENTED**  "
./docs/EXECUTION_PLAN_2025-09-30.md,16,TODO,"- ⚠️ Safety System: Framework exists with TODO placeholders"
./docs/EXECUTION_PLAN_2025-09-30.md,39,TODO,"Complete the SafetyMonitor implementation by replacing TODO placeholders with actual safety logic."
./docs/EXECUTION_PLAN_2025-09-30.md,42,TODO,"- SafetyMonitor framework is well-designed but contains TODO placeholders"
./docs/EXECUTION_PLAN_2025-09-30.md,55,TODO,"    // TODO(developer): Implement joint position limit checking"
./docs/EXECUTION_PLAN_2025-09-30.md,111,TODO,"    // TODO(developer): Implement velocity limit checking"
./docs/EXECUTION_PLAN_2025-09-30.md,170,TODO,"    // TODO(developer): Implement temperature monitoring from ODrive feedback"
./docs/EXECUTION_PLAN_2025-09-30.md,186,CRITICAL,"    const double MOTOR_CRITICAL_TEMP = 80.0;   // Celsius"
./docs/EXECUTION_PLAN_2025-09-30.md,188,CRITICAL,"    const double CONTROLLER_CRITICAL_TEMP = 85.0;"
./docs/EXECUTION_PLAN_2025-09-30.md,192,CRITICAL,"        if (temp > MOTOR_CRITICAL_TEMP) {"
./docs/EXECUTION_PLAN_2025-09-30.md,195,CRITICAL,"                motor_id.c_str(), temp, MOTOR_CRITICAL_TEMP);"
./docs/EXECUTION_PLAN_2025-09-30.md,208,CRITICAL,"        if (temp > CONTROLLER_CRITICAL_TEMP) {"
./docs/EXECUTION_PLAN_2025-09-30.md,211,CRITICAL,"                controller_id.c_str(), temp, CONTROLLER_CRITICAL_TEMP);"
./docs/EXECUTION_PLAN_2025-09-30.md,240,TODO,"    // TODO(developer): Implement CAN communication timeout checking"
./docs/EXECUTION_PLAN_2025-09-30.md,343,TODO,"- ✅ All 4 TODO placeholders replaced with working implementations"
./docs/EXECUTION_PLAN_2025-09-30.md,470,TODO,"**Current State**: Stub functions with TODO comments"
./docs/EXECUTION_PLAN_2025-09-30.md,498,TODO,"**If NO**: Document as ""Not Required"" and remove TODO"
./docs/EXECUTION_PLAN_2025-09-30.md,556,TODO,"3. Reclassify safety TODOs as technical debt, not blockers"
./docs/EXECUTION_PLAN_2025-09-30.md,570,TODO,"- ⚠️ **Safety TODOs**: Identified placeholder TODOs remain but are technical debt, not operational blockers"
./docs/EXECUTION_PLAN_2025-09-30.md,590,TODO,"3. Why TODOs don't currently block operation"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,162,CRITICAL,"    CRITICAL   // Immediate shutdown"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,490,OTHER,"| **Cycle Time** | 2.8s | TBD | ≤2.8s ✅ |"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,491,OTHER,"| **Position Accuracy** | <1mm | TBD | <1mm ✅ |"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,492,OTHER,"| **Memory Leaks** | 0 | TBD | 0 ✅ |"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,493,OTHER,"| **Shutdown Time** | <1s | TBD | <1s ✅ |"
./docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,494,OTHER,"| **System Health** | 95/100 | TBD | ≥95/100 ✅ |"
./docs/PHASE1_1_COMPLETE.md,60,TODO,"- ✅ All public methods with TODO markers for Phase 1.2"
./docs/PHASE1_1_COMPLETE.md,167,TODO,"The following are marked with `TODO` comments for Phase 1.2:"
./docs/STATUS_REVIEW_CORRECTION_2025-09-30.md,65,TODO,"### Section 4: Outstanding TODOs"
./docs/STATUS_REVIEW_CORRECTION_2025-09-30.md,69,TODO,"OLD: High Priority TODOs - Cotton Detection Refactor (In Progress - 11% complete)"
./docs/STATUS_REVIEW_CORRECTION_2025-09-30.md,72,TODO,"NEW: High Priority TODOs - Cotton Detection Integration STATUS: ✅ COMPLETE"
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,56,CRITICAL,"**CRITICAL FINDING:** The following documents are NOT cited in the cross-reference matrix:"
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,99,CRITICAL,"**CRITICAL INSIGHT:** 63% of features are blocked waiting for hardware validation."
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,136,CRITICAL,"Matrix includes CRITICAL validation of migration claims:"
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,142,OTHER,"| ""2.8s cycle times"" | FINAL_REPORT.md | ""Cotton detection subsystem specific performance TBD"" | 🚩 **WRONG SUBSYSTEM** |"
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,162,OTHER,"- Line 104: ""2.8s cycle times"" - ""Cotton detection subsystem specific performance TBD"""
./docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,240,TODO,"3. **code_completion_checklist.md** (85%) - Real-time TODO tracking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/threading_performance_assessment.md,66,CRITICAL,"// ""CRITICAL: Process ROS2 callbacks to prevent executor conflicts"""
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/threading_performance_assessment.md,67,CRITICAL,"// ""CRITICAL: Process ROS2 callbacks while waiting"""
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/hardware_interface_comparison.md,32,CRITICAL,"🔴 **CRITICAL**: Runtime operations expect hardware interfaces that are compiled out, leading to silent failures and degraded functionality."
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/hardware_interface_comparison.md,126,CRITICAL,"| **GPIO Control** | ENABLE_PIGPIO | OFF | enable_gpio | 1 | GPIO pin control active | Placeholder logging only | 🔴 CRITICAL |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/hardware_interface_comparison.md,130,CRITICAL,"| **End Effector** | ENABLE_PIGPIO | OFF | end_effector_enable | 1 | Pneumatic control active | Placeholder logging only | 🔴 CRITICAL |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/hardware_interface_comparison.md,131,CRITICAL,"| **Vacuum Motor** | ENABLE_PIGPIO | OFF | global_vaccum_motor | 1 | Vacuum pump control active | Placeholder logging only | 🔴 CRITICAL |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,19,CRITICAL,"2. **CRITICAL GAPS IDENTIFIED**: ❌"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,180,CRITICAL,"**CRITICAL GAP IDENTIFIED:**"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,191,CRITICAL,"**CRITICAL MISMATCH DETECTED:**"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,203,CRITICAL,"**Severity**: 🔴 **CRITICAL** - System expects hardware features that are compiled out."
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,233,CRITICAL,"| **GPIO/Camera Disabled** | 🔴 CRITICAL | No hardware I/O possible | Compile flags vs runtime params |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,234,CRITICAL,"| **Cotton Detection Placeholder** | 🔴 CRITICAL | No autonomous operation | Hardcoded coordinates in logs |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,235,CRITICAL,"| **E-stop Headless Mode** | 🔴 CRITICAL | Safety compromised | STDIN terminal warning |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,282,CRITICAL,"### Priority 1: CRITICAL (Immediate Action Required)"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,20,TODO,"- ⚠️ **Safety TODOs Remain**: SafetyMonitor framework exists with TODO placeholders - **technical debt, not operational blockers**"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,31,TODO,"   - SafetyMonitor framework is well-designed, just needs TODO completion"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,38,TODO,"The TODOs identified in this analysis are now classified as **MEDIUM priority technical debt** for:"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,54,TODO,"- ⚠️ **Safety System Enhancement**: SafetyMonitor TODOs are technical debt for future enhancement (not blocking)"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,192,TODO,"| **Safety Systems** | 70% | ⚠️ Enhancement | Framework exists, checks are TODOs (technical debt) |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/production_readiness.md,115,TODO,"    return true; // TODO: Implement actual joint limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/production_readiness.md,120,TODO,"    return true; // TODO: Implement actual velocity limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,7,CRITICAL,"**Status**: 🔴 **CRITICAL GAPS IDENTIFIED** - Production deployment blocked until resolved"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,17,CRITICAL,"   - **Risk Level**: CRITICAL - System safety compromised"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,21,TODO,"   - **Evidence**: All safety check methods contain only TODO comments and debug logs"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,23,CRITICAL,"   - **Risk Level**: CRITICAL - Silent safety failures possible"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,78,TODO,"    // TODO(developer): Implement CAN communication timeout checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,124,TODO,"    // TODO(developer): Implement joint position limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,196,CRITICAL,"| Emergency Stop | No active E-stop mechanism | CRITICAL | Log warnings, disabled GPIO | Implement hardware GPIO E-stop | HIGH | P0 |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/safety_validation.md,197,TODO,"| Safety Monitor | All checks are placeholders | CRITICAL | TODO comments in all methods | Implement actual monitoring | HIGH | P0 |"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros2_improvements_validated.md,135,CRITICAL,"    CRITICAL   // System failure, immediate shutdown required"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,18,TODO,"- ✅ **Safety TODOs Did Not Block Operation**: System has multiple safety layers"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,21,CRITICAL,"- ⚠️ **Recommendations Still Valid**: But priority changed from CRITICAL to MEDIUM/LOW"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,40,CRITICAL,"### 1.1 Safety System Implementation **[CRITICAL]**"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,46,TODO,"- SafetyMonitor class contains TODO placeholders instead of actual safety checks"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,64,TODO,"       // REPLACE: return true; // TODO: Implement actual joint limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/recommendations.md,260,CRITICAL,"                   case ErrorSeverity::CRITICAL:"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,50,CRITICAL,"### 1.1 Safety Systems - **CRITICAL** (All items mandatory)"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,91,TODO,"      // TODO: Implement actual joint limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,104,TODO,"      // TODO: Implement actual velocity limit checking"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,166,CRITICAL,"### 2.1 Core Functionality - **CRITICAL** (Validation complete)"
./docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/preflight_checklist.md,233,CRITICAL,"### 3.2 Hardware Integration Testing - **CRITICAL**"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,11,CRITICAL,"### Current State (CRITICAL ISSUES)"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,52,CRITICAL,"**CRITICAL**: Documentation contradicts itself and misleads about actual completion state"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,147,CRITICAL,"**CRITICAL FINDING**: All references are **SELF-REFERENTIAL** (documentation about the documentation archive). No production code or active documentation references archived files."
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,228,CRITICAL,"**CRITICAL DUPLICATES:**"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,234,TODO,"2. `code_completion_checklist.md` (12KB) - Active TODO tracking"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,339,CRITICAL,"**CRITICAL GAPS:**"
./docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,717,TODO,"│   │   ├── code_completion_checklist.md (Active TODOs)"
./docs/archive/2025-10-analysis/TASK_COMPARISON_PYTHON_VS_CPP.md,25,CRITICAL,"These are CRITICAL safety fixes to prevent crashes until C++ is ready:"
./docs/archive/2025-10-analysis/TASK_COMPARISON_PYTHON_VS_CPP.md,86,CRITICAL,"**This is the CRITICAL PATH** - everything else depends on this."
./docs/archive/2025-10-analysis/TASK_COMPARISON_PYTHON_VS_CPP.md,235,CRITICAL,"**DO ONLY THE 5 CRITICAL FIXES (Phase 0):**"
./docs/archive/2025-10-analysis/COTTON_DETECTION_SENIOR_CODE_REVIEW.md,18,CRITICAL,"- ⚠️ **6 CRITICAL** issues that could cause crashes or data loss"
./docs/archive/2025-10-analysis/COTTON_DETECTION_SENIOR_CODE_REVIEW.md,23,CRITICAL,"1. **Subprocess deadlock potential** - STDOUT/STDERR pipes not consumed (CRITICAL)"
