Subsystem,Gap_Description,Severity,Impact,Evidence_Source,Proposed_Fix,Effort_Estimate,Owner,ETA,Status
Hardware_Interface,GPIO support disabled at compile-time,CRITICAL,No hardware I/O operations possible,"Logs: ""GPIO support disabled at compile time"" vs runtime param enable_gpio=1",Add -DENABLE_GPIO=ON to CMake build,2 hours,DevOps,Sprint 1,BLOCKED
Hardware_Interface,Camera support disabled at compile-time,CRITICAL,No camera operations possible,"Logs: ""Camera support disabled at compile time"" vs runtime param enable_camera=1",Add -DENABLE_CAMERA=ON to CMake build,2 hours,DevOps,Sprint 1,BLOCKED
Cotton_Detection,Detection service not integrated,CRITICAL,No autonomous cotton detection,"Logs: ""get_cotton_coordinates: Added 1 cotton positions (placeholder)""",Replace placeholder with service call to /cotton_detection/detect,1 day,Software,Sprint 1,BLOCKED
Safety_Systems,Emergency stop disabled in headless mode,CRITICAL,Safety system compromised,"Logs: ""STDIN is not a terminal - keyboard monitoring disabled""",Verify hardware E-stop as primary mechanism,4 hours,Hardware,Sprint 1,BLOCKED
Configuration,Simulation mode flags inconsistent,HIGH,Undefined behavior in mode switching,"Logs: simulation_mode=0 vs use_simulation=1",Establish single source of truth for simulation mode,4 hours,Software,Sprint 1,PENDING
Threading,Potential duplicate executor threads,HIGH,Resource conflicts and performance impact,"Logs: Multiple ""Starting ROS2 executor thread"" messages",Verify single executor instance or fix initialization,2 hours,Software,Sprint 1,PENDING
Motor_Control,ODrive fault handling validation needed,MEDIUM,Unknown recovery behavior during faults,ROS1 had explicit fault handling - ROS2 needs verification,Test fault scenarios in safe environment,1 day,Hardware,Sprint 2,PENDING
Transform_System,TF2 coordinate alignment needs validation,MEDIUM,Potential coordinate accuracy issues,Camera-to-arm transforms need verification against detection scaling,Validate pixel-to-meter scaling alignment,4 hours,Software,Sprint 2,PENDING
Configuration,Parameter naming inconsistencies,LOW,Maintainability and confusion issues,Mixed naming patterns across parameter files,Standardize parameter naming convention,2 hours,Software,Sprint 3,PENDING
Logging,Log rotation and retention not configured,LOW,Disk space management issues,59 production log files indicate no rotation,Configure log rotation policies,1 hour,DevOps,Sprint 3,PENDING
Documentation,Build flag documentation incomplete,LOW,Developer onboarding difficulties,CMake options not clearly documented,Document all compile-time switches,2 hours,Technical_Writer,Sprint 3,PENDING
Performance_Monitoring,PerformanceMonitor not enabled by default,LOW,Limited runtime metrics collection,Detection node has performance monitoring but may not be active,Enable performance monitoring by default,1 hour,Software,Sprint 3,PENDING
Hardware_Interface,RealSense SDK integration unclear,MEDIUM,Camera functionality uncertainty,HAS_REALSENSE macro present but integration status unknown,Verify RealSense SDK presence and test integration,4 hours,Hardware,Sprint 2,PENDING
Configuration,Joint velocity limits validation,MEDIUM,Potential unsafe motion parameters,ROS1 had explicit velocity limits - ROS2 needs verification,Validate all joint velocity and acceleration limits,2 hours,Software,Sprint 2,PENDING
Safety_Systems,Watchdog timeout values need verification,MEDIUM,Unknown fault detection timing,processing_timeout_ms and hardware_timeout parameters need validation,Test and validate all timeout values,4 hours,Software,Sprint 2,PENDING
