path,title,last_updated,audience,purpose
BUILD_OPTIMIZATION_GUIDE.md,Build Optimization Guide,,,
CALIBRATION_GUIDE.md,Pragati Robot Calibration Guide,,,
CLEANUP_PHASE2_SUMMARY.md,Documentation Cleanup Phase 2 - Summary,,,
CLEANUP_ROUND3_SUMMARY_2025-10-16.md,Documentation Cleanup Round 3 - Content-Based Cleanup,,,
CONSOLIDATED_ROADMAP.md,Pragati ROS2 Consolidated Roadmap,,,
CONSOLIDATION_LOG.md,Documentation Consolidation Log,,,
CONSOLIDATION_SUMMARY.md,Documentation Consolidation Summary,,,
CONTRIBUTING_DOCS.md,Contributing to Documentation,,,
CPP_USAGE_GUIDE.md,Cotton Detection C++ Node - Usage Guide,,,
CPP_VS_PYTHON_RECOMMENDATION.md,C++ vs Python Implementation - Technical Assessment & Recommendation,,,
DOCUMENTATION_ORGANIZATION.md,Documentation Organization - Complete,,,
HARDWARE_TEST_CHECKLIST.md,Hardware Test Checklist - OAK-D Lite Cotton Detection,,,
INDEX.md,Pragati ROS2 Documentation Index,,,
MASTER_MIGRATION_STRATEGY.md,Master Migration Strategy: OAK-D Lite Integration,,,
OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,OAK-D Lite Hybrid Migration Plan: Preserving ROS2 Enhancements,,,
OAK_D_LITE_MIGRATION_ANALYSIS.md,OAK-D Lite Camera Migration Analysis: ROS1 to ROS2,,,
ODRIVE_TO_MG6010_MIGRATION_GUIDE.md,ODrive to MG6010-i6 Migration Guide,,,
PRODUCTION_READINESS_GAP.md,Production Readiness Gap Analysis,,,
README.md,Pragati Production System Documentation,,,
ROLLOUT_AND_RISK_MANAGEMENT.md,Rollout Strategy and Risk Management,,,
ROS2_INTERFACE_SPECIFICATION.md,ROS2 Interface Specification — `cotton_detection_ros2`,,,
SAFETY_MONITOR_EXPLANATION.md,SafetyMonitor - What It Does and Why It's Critical,,,Prevent motor/controller burnout
START_HERE.md,Pragati ROS2 Documentation - Start Here 🚀,,,
STATUS_REALITY_MATRIX.md,Pragati ROS2 Status Reality Matrix,,,
TESTING_AND_VALIDATION_PLAN.md,Testing and Validation Plan - OAK-D Lite Cotton Detection System,,,
THREE_MOTOR_SETUP_GUIDE.md,Three Motor Setup Guide - MG6010 Integration,,,
TODO_MASTER.md,TODO Master List - Pragati ROS2 Project,,,
TODO_MASTER_CONSOLIDATED.md,TODO Master List - Consolidated,,,
USB2_CONFIGURATION_GUIDE.md,USB2 Mode Configuration and Validation Guide,,,
YOLO_MODELS.md,YOLO Model Blobs for Cotton Detection,,,
architecture/SYSTEM_ARCHITECTURE.md,System Architecture - Pragati ROS2,,,
enhancements/PHASE_2_ROADMAP.md,Phase 2 Roadmap: Production-Ready System,,,
enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md,Web Dashboard Enhancement Plan,,,
evidence/2025-10-15/SAFETY_MONITOR_IMPLEMENTATION_COMPLETE.md,SafetyMonitor Implementation - COMPLETE ✅,,,
guides/API_DOCUMENTATION_GUIDE.md,API Documentation Generation Guide,,,
guides/AUTOMATION_SETUP.md,Automation Setup Guide,,,
guides/CAMERA_INTEGRATION_GUIDE.md,Camera Integration Guide,,,
guides/CAN_BUS_SETUP_GUIDE.md,CAN Bus Setup Guide,,,
guides/COTTON_DETECTION_MIGRATION_GUIDE.md,Cotton Detection Migration to ROS2 Topics - Implementation Guide,,,
guides/ERROR_HANDLING_GUIDE.md,Error Handling and Auto-Reconnect Guide,,,
guides/FAQ.md,Frequently Asked Questions (FAQ),,,
guides/FINAL_FIX_continuous_operation.md,FINAL FIX: Continuous Operation YAML Loading Issue,,,
guides/GAPS_AND_ACTION_PLAN.md,Pragati ROS2 - Gaps Analysis & Action Plan,,,
