Feature/Claim,Source Docs,Code Refs,Reality Status,Tests / Evidence,Hardware Dep?,Notes
Cotton detection C++ node is primary,README.md;docs/ROS2_INTERFACE_SPECIFICATION.md,src/cotton_detection_ros2/src/cotton_detection_node.cpp,Implemented (simulation proven; hardware pending),scripts/validation/comprehensive_test_suite.sh (2025-10-14 PASS),Yes,"DepthAI manager compiled in when -DHAS_DEPTHAI=ON; awaiting field validation logs"
Calibration export handled by C++ service,docs/ROS2_INTERFACE_SPECIFICATION.md;docs/STATUS_REALITY_MATRIX.md,src/cotton_detection_ros2/src/cotton_detection_node.cpp:handle_calibration_request,Implemented (simulation),test_results/2025-10-14_simulation_suite_summary.md,Yes,"Writes YAML + fallback script path; confirm once hardware available"
Only `/cotton_detection/detect` service exposed,README.md;docs/ROS2_INTERFACE_SPECIFICATION.md,src/cotton_detection_ros2/launch/cotton_detection_wrapper.launch.py;src/cotton_detection_ros2/scripts/cotton_detect_ros2_wrapper.py,Implemented (legacy service removed),N/A,No,"Wrapper retains legacy path internally but launch + docs only advertise detect"
Simulation toggle available for detection + manipulator,docs/guides/SIMULATION_MODE_GUIDE.md;src/yanthra_move/README.md,src/cotton_detection_ros2/src/cotton_detection_node.cpp (simulation hooks);src/yanthra_move/src/yanthra_move_system.cpp,Implemented, scripts/validation/comprehensive_test_suite.sh (2025-10-14 PASS),No,"Start switch publish required when dashboard absent"
MG6010 controller defaults to 500kbps and exposes services,README.md;src/motor_control_ros2/docs/MG6010_INDEX.md,src/motor_control_ros2/src/mg6010_controller.cpp;src/motor_control_ros2/src/mg6010_service_node.cpp,Implemented (bench pending),scripts/validation/comprehensive_test_suite.sh (simulation skip logged),Yes,"Hardware bench run blocked; config files align with default"
Safety monitor active in motor stack,docs/STATUS_REALITY_MATRIX.md;src/motor_control_ros2/docs/TRACEABILITY_TABLE.md,src/motor_control_ros2/src/safety_monitor.cpp,Implemented,N/A,No,"Telemetry enhancements (trend logging) remain backlog"
Yanthra Move ships in simulation-first mode,src/yanthra_move/README.md,src/yanthra_move/launch/pragati_complete.launch.py;src/yanthra_move/config/production.yaml,Implemented, test_results/2025-10-14_simulation_suite_summary.md,No,"Hardware GPIO placeholders documented; owner to backfill post bench"
Vehicle control subsystem validated via simulation,docs/STATUS_REALITY_MATRIX.md;src/vehicle_control/README.md,src/vehicle_control/src;src/vehicle_control/launch/vehicle_control_with_params.launch.py,Implemented (simulation),scripts/validation/comprehensive_test_suite.sh (navigation section),No,"Hardware drive tests pending; docs warn"
Pattern Finder retained as legacy optional tool,docs/guides/GAPS_AND_ACTION_PLAN.md;src/pattern_finder/README.md,src/pattern_finder/,Legacy (optional),N/A,Yes,"No ROS2 integration; references now labelled legacy"
Documentation inventory enforced in CI guard,docs/cleanup/DOCUMENTATION_RECONCILIATION_PLAN.md;scripts/validation/quick_validation.sh,scripts/validation/doc_inventory_check.sh;docs/doc_inventory_snapshot.json,Implemented, scripts/validation/quick_validation.sh,No,"Regenerate snapshot when docs move; check passes"
README ↔ Status Matrix parity enforced,CONTRIBUTING.md;scripts/validation/quick_validation.sh,scripts/validation/readme_status_parity.py,Implemented, scripts/validation/quick_validation.sh,No,"Alias map updated 2025-10-14 to cover pattern finder"
Comprehensive system validation (simulation profile) kept current,docs/validation/COMPREHENSIVE_SYSTEM_VALIDATION_REPORT.md, scripts/validation/comprehensive_test_suite.sh,Implemented, test_results/2025-10-14_simulation_suite_summary.md,No,"Run with SIMULATION_EXPECTS_MG6010=1 once controller available"
Generated status report `_generated/master_status.md`,docs/archive/2025-10-21/scripts/generate_reality_check.sh;docs/_generated/master_status.md,Manual snapshot 2025-10-14,docs/_generated/master_status.md,No,"Document now curated by hand; script retained only for historical reference"
